Ticker	P_E	P_Free_Cash_Flow	Dividend_Yield	EPS_growth_this_year	Return_on_Equity	LT_Debt_Equity
MOS	19.73	19.77	1.88	235	11.1	0.35
MPC	13.07	13.52	1.89	-32.8	22	0.57
MRK	14.23	NA	3.08	176.9	24.7	0.41
MRO	20.05	NA	2.95	8.4	15.4	0.31
MS	12.41	NA	1.09	114.5	11.2	2.46
MSFT	17.68	20.53	2.83	1.9	23	0.2
MTB	16.35	NA	2.31	-9.5	8.9	0.81
MU	10.4	11.04	NA	124.8	35.4	0.4
MUR	11.91	NA	2.78	10.3	9	0.47
MWV	35.9	NA	1.82	-14	7.6	0.55
MYL	24.94	21.88	NA	3.9	28.7	1.28
NAVI	7.93	NA	2.95	-6.6	38.2	32.6
NBL	19.25	NA	1.47	-6.7	9.9	0.55
NBR	11.96	NA	1.78	-35.4	6.1	0.73
NDAQ	21.31	19.15	1.18	6.2	6.8	0.4
NEE	18.89	63.76	2.75	42.5	13.1	1.22
NFLX	110.69	NA	NA	133.5	16	0.48
NFX	14.2	NA	NA	109.7	17.2	0.86
NI	25.96	NA	2.38	15.4	8.8	1.4
NKE	28.25	53.53	1.18	11.2	26.7	0.09
NLSN	45.74	60.33	2.21	72.7	6.4	1.16
NOC	17.68	23.26	1.63	16.8	21.8	0.82
NOV	9.57	18.42	3.38	12	11.6	0.15
NSC	17.43	730.79	2.11	5.6	16.4	0.72
NTAP	20	14.16	1.73	33.6	17	0.43
NTRS	21.11	NA	1.88	11	9.8	0.42
NUE	21.84	77.48	3.07	46.7	9.3	0.56
NVDA	19.94	NA	1.52	51.4	14.8	0.32
NWL	29.72	37.54	1.89	-6.3	21.4	1.13
NWSA	37.26	19.88	0.99	-52.9	2.1	0
OI	47.09	13.9	NA	-51.6	4.8	2.57
OKE	31.78	NA	5.08	-22.6	29.5	11.55
OMC	17.84	24.17	2.57	16.4	40	1.6
ORCL	18.31	15.5	1.1	5.3	23.4	0.68
ORLY	28.04	27.46	NA	21.7	37.6	0.69
OXY	11.09	NA	3.6	28.9	16.3	0.16
PAYX	27.84	66.28	3.07	9.6	36.2	0
PBCT	17.82	NA	4.41	12	5.4	0.22
PBI	15.65	NA	3.26	3.5	229.2	38.11
PCAR	16.91	NA	1.36	15.8	19.5	0
PCG	18.03	NA	3.31	67.2	9.4	0.96
PCL	35.64	135.47	4.08	-6.9	12.4	1.65
PCLN	27.45	24.34	NA	30.5	30.6	0.45
PCP	17	23.91	0.05	23.2	16.1	0.3
PDCO	22.93	73.77	1.62	-3	14.6	0.5
PEG	16.99	NA	3.56	-2.4	10.5	0.69
PEP	23.25	37.49	2.64	-1.2	30	1.37
PETM	19.65	20.14	0.94	13.2	37.3	0.36
PFE	24.34	NA	3.24	-14.5	14.9	0.41
PFG	14.01	5.92	2.76	26.1	10.9	0.25
PG	24.96	48.35	3.03	4	14.1	0.29
PGR	12.38	NA	2.59	11.4	18.9	0.31
PH	17.06	20.4	2.04	9.7	17.1	0.47
PHM	17.77	45.35	1.41	-81.3	11.6	0.38
PKI	32.8	23.81	0.6	-7.8	7.6	0.52
PLD	34.98	NA	3.07	210	5.4	0.67
PLL	30.62	32.4	1.16	12.5	21.6	0.24
PM	17.34	NA	4.82	-9.1	-92.1	NA
PNC	12.57	NA	2.08	-0.5	9	0.62
PNR	20.87	20.43	1.88	411.9	6.5	0.6
PNW	17.54	NA	3.62	4.6	9.7	0.68
POM	25.94	NA	3.96	-52.6	6.1	1.13
PPG	30.15	NA	1.13	34.3	36.1	0.48
PPL	14.76	NA	4.26	39.2	15.2	1.38
PRGO	58.9	28.72	0.33	-62	3.9	0.46
PRU	28.55	NA	2.87	300.7	3.5	0.54
PSA	39.88	NA	2.8	27.7	16.8	0.01
PSX	12.05	NA	2.59	-7.7	33.9	0.28
PVH	24.77	20.45	0.14	-70.4	8.3	0.79
PWR	21.86	NA	NA	-27.8	6.8	0.02
PX	22.57	89.71	2.21	-2.4	26.4	1.54
PXD	37.09	NA	0.05	343.5	14.3	0.31
QCOM	15.12	25.91	2.35	12.5	20.8	0
QEP	571.5	NA	0.35	23.6	3.1	0.89
R	22.89	NA	1.56	-10.6	13.9	2.47
RAI	27.37	4907.7	3.63	-14	30.3	1.02
RCL	22.21	NA	1.58	60.3	10.6	0.92
REGN	138.04	106.02	NA	-19.4	14.4	0.18
RF	12.23	8.18	2.07	1.3	6.9	0.21
RHI	27.13	45.95	1.3	23.5	31.7	0
RHT	75.76	24.45	NA	20.8	12.2	0.58
RL	17.11	25.18	1.44	5.4	18.2	0.13
ROK	19.47	31.38	2.2	10.3	31.5	0.35
ROP	26.3	23.78	0.59	19.2	14.1	0.46
ROST	23.09	42.48	0.82	9.9	42.5	0.18
RRC	23.04	NA	0.31	775	14.6	0.95
RSG	26.57	48.87	2.76	-5.6	7	0.91
RTN	15.62	31.3	2.22	16.9	20.2	0.56
SBUX	28.25	49.67	1.37	16.8	57.9	0.35
SCG	15.38	NA	3.6	7.6	11.1	1.15
SCHW	30.89	NA	0.81	23.1	12.5	0.18
SE	22.52	NA	4.08	3.9	12.1	1.23
SEE	39.82	NA	1.08	175	34.2	3.68
SHW	32.89	NA	0.76	19.2	55.3	0.83
SIAL	33.27	40.12	0.66	2.7	16.3	0.1
SJM	20.81	53.33	2.26	8.4	10.8	0.37
SLB	19.97	20.81	2.33	-15.5	13.7	0.28
SNA	20.46	40.48	1.45	20.4	18.9	0.39
SNDK	19.53	14.29	1.45	-2.5	14.6	0.2
SNI	19.21	15.91	1.09	12.6	31.7	1.08
SO	20.97	NA	4.55	18.2	10.2	1.09
SPG	44.09	29.77	2.92	-10.2	25.4	4.26
SPLS	17.86	23.12	2.86	545.8	10	0.17
SRCL	35.52	31.57	NA	6.5	17.8	0.81
SRE	24	NA	2.4	15.2	10.3	1.1
STI	12.64	NA	1.95	34	11.7	0.6
STJ	19.79	NA	1.58	39	37.1	0.54
STT	16.55	NA	1.55	1.5	10.1	0.51
STX	10.31	11.18	3.47	-6	66.9	1.06
STZ	32.24	83.45	NA	385.6	14.6	1.26
SWK	22.85	24.03	2.1	17.2	9.7	0.55
SWN	12.81	158.34	NA	198.5	19.2	0.42
SYK	70.56	33.19	1.45	-48.7	6.6	0.38
SYMC	19.46	36.44	2.34	20.8	15.7	0.3
SYY	26.98	91.48	3.03	-5.4	16.5	1.36
T	28.64	301.15	5.52	-64.9	6.9	0.88
TAP	27.76	19.3	2.14	-10.1	6.1	0.3
TDC	19.44	12.58	NA	2.6	20.2	0.11
TE	20.4	NA	4.5	-19.3	8.7	1.29
TEG	16.67	NA	3.52	18	11.3	0.88
TEL	15.6	34.02	1.62	42.1	21.4	0.36
TGT	32.16	100.54	2.71	-32.1	9.3	0.84
TIF	63.52	NA	1.69	-56.6	6.5	0.31
TJX	22.68	33.17	1.02	15.3	50.1	0.37
TMK	13.51	7.68	0.94	5.3	12.7	0.22
TMO	27.79	26.81	0.46	34.6	9.2	0.6
TRIP	57.28	41.47	NA	9.9	21.6	0.23
TROW	18.77	30.98	2.11	16.7	23.2	0
TRV	10.07	11.69	2.04	9.9	14.5	0.24
TSCO	33	73	0.73	14.7	29.7	0
TSN	17.22	19.76	0.96	2.6	11.8	0.76
TSO	17.03	22.92	1.32	-53.8	15.8	0.64
TSS	25.87	28.22	1.05	13.3	29.1	0.83
TWC	20.93	30.76	2.02	6.8	32.7	2.83
TWX	19.21	35.25	1.66	23.9	14.5	0.87
TXN	22.51	28.3	2.32	34.6	37.5	0.35
TXT	22.61	11.69	0.18	-11.2	12.4	0.78
TYC	27.55	67.94	1.69	81.9	40.2	0.28
UA	78.98	203.99	NA	26.7	17.1	0.19
UHS	21.79	18.86	0.37	13.5	14.4	0.94
UNH	19.9	20.8	1.33	3.6	17.2	0.49
UNM	21.51	NA	1.94	-50.2	4.6	0.31
UNP	21.51	77.45	1.78	22.1	24.2	0.52
UPS	31.09	NA	2.86	-28.9	50.7	1.75
URBN	22.69	46.13	NA	16.7	16.6	0
URI	18.56	NA	NA	41.5	29.8	4.13
USB	14.49	NA	2.2	2.7	14.7	0.83
UTX	18.2	37.73	2.06	9.8	18.9	0.57
V	30.4	28.7	0.7	13.6	25.4	0
VAR	24.19	23.36	NA	-3.8	24.1	0.23
VFC	31.85	33.24	1.69	-12.2	17.9	0.24
VIAB	12.79	15.58	1.89	11.7	59.9	3.92
VLO	8.76	NA	2.64	40.8	25.2	0.28
VMC	51.91	1591.8	0.3	875	4.9	0.44
VNO	79.22	NA	2.24	-102.1	5	2.13
VRSN	25.35	13.29	NA	-27.8	-52.2	NA
VTR	50.28	104.25	1.08	58.1	5.4	1.2
VZ	19.43	37.75	4.49	-39.5	68.2	8.99
WAT	23.73	NA	NA	-2.5	23.3	0.65
WBA	36.38	33.75	1.75	-21.9	9.8	0.67
WDC	17.23	16.87	1.8	67.8	17.4	0.25
WEC	20.05	106.85	3.25	3.2	13.4	0.95
WFC	13.37	NA	2.55	5.4	13.5	1.11
WFM	35.45	102.69	0.92	6.1	15.1	0.02
WHR	26.1	31.09	1.41	-20.2	12.7	0.73
WIN	34.52	41.92	11.59	39.3	23.2	18.67
WM	237	51.29	2.75	-88.1	1.8	1.68
WMB	17.3	NA	4.74	356.3	31.9	2.18
WMT	16.89	26.63	2.28	2.5	21.4	0.56
WU	12.23	15.06	3.19	11.2	73.8	2.86
WY	25.53	143.33	3.27	70.7	28.4	1.02
WYN	21.75	19.41	1.53	30.3	60.8	3.82
WYNN	22.1	NA	3.79	0.1	NA	77.52
XEC	19.95	NA	0.55	-10.8	14.7	0.33
XEL	17.69	NA	3.34	6.3	10.4	1.13
XL	49.1	NA	1.81	-81	1.6	0.17
XLNX	17.44	22.76	2.78	22.3	24.2	0.37
XOM	11.75	NA	3.07	3	28.3	0.06
XRAY	24.32	19.1	0.51	-0.9	12.3	0.47
XRX	15.56	11.83	2	0	12.6	0.59
XYL	19.58	32.28	1.55	48.8	15.3	0.56
YHOO	5.77	80.07	NA	494.4	32.1	0.03
YUM	33.56	96.77	2.12	-2.1	48.9	1.99
ZION	15.13	NA	0.61	8.1	5.6	0.17
ZMH	29.02	27.01	0.72	-5.4	11.2	0.22
ZTS	39.31	NA	0.72	14.9	50.2	2.67
